Course_Name,Category,Subcategory,Description,Skills_Covered,Tags,Difficulty_Level
Mastering Functional Programming with Kotlin,Development,Mobile Development,"Learn Kotlin’s functional programming features, including lambda expressions, higher-order functions, and coroutines.","Kotlin lambdas, extension functions, coroutines, functional collections.","Kotlin, Functional Programming, Coroutines, Higher-Order Functions, Extension Functions.",Intermediate
Functional Data Structures and Algorithms,Development,Data Structures & Algorithms,Learn how to implement data structures and algorithms in a functional programming paradigm.,"Immutable data structures, recursion, functional graphs, pattern matching.","Functional Programming, Data Structures, Algorithms, Immutable Structures, Recursion.",Intermediate
Compiler Design: Introduction to Compiler Theory,Development,Computer Science Theory,"Learn the fundamental concepts of compiler design, including lexical analysis, parsing, and code generation.","Lexical analysis, parsing, syntax trees, code generation, compiler phases.","Compiler Design, Parsing, Syntax Analysis, Code Generation, Computer Science.",Beginner
Lexical Analysis & Tokenization for Compiler Design,Development,Computer Science Theory,Learn how lexical analysis works and how to implement tokenization in a compiler.,"Finite state machines, regular expressions, tokenization, symbol tables.","Compiler, Lexical Analysis, Tokenization, Finite State Machines, Regular Expressions.",Intermediate
Code Optimization Techniques in Compiler Design,Development,Computer Science Theory,"Learn advanced techniques for optimizing code in a compiler, including constant folding and dead code elimination.","Constant folding, loop unrolling, strength reduction, dead code elimination.","Compiler Optimization, Code Optimization, Constant Folding, Dead Code Elimination, Strength Reduction.",Intermediate
Understanding Context-Free Grammars in Compiler Design,Development,Computer Science Theory,Learn about context-free grammars (CFGs) and their role in syntax analysis in compilers.,"Context-free grammars, syntax trees, parsing techniques.","Compiler, CFG, Syntax Analysis, Parsing, Formal Languages.",Intermediate
Garbage Collection & Memory Management in Compilers,Development,Computer Science Theory,"Learn how memory management works in compilers, including garbage collection algorithms.","Reference counting, mark-and-sweep, generational garbage collection.","Compiler, Memory Management, Garbage Collection, Reference Counting, Mark-and-Sweep.",Intermediate
Mastering Data Structures & Algorithms in C and C++,Development,Data Structures & Algorithms,"A deep dive into data structures such as arrays, linked lists, stacks, queues, graphs, and trees using C and C++.","Arrays, linked lists, stacks, queues, trees, graphs, recursion, searching & sorting.","Data Structures, C++, C, Algorithms, DSA.",Intermediate
"Python Data Structures: Linked Lists, Stacks & Queues",Development,Data Science,"Implement linked lists, stacks, and queues in Python with hands-on exercises and real-world applications.","Python programming, linked lists, stack operations, queue implementations.","Python, Data Structures, Linked Lists, Stacks, Queues.",Intermediate
"Mastering Trees: Binary, AVL, B-Trees & More",Development,Data Structures & Algorithms,"Learn tree-based data structures such as binary trees, AVL trees, B-trees, and red-black trees.","Tree traversal, self-balancing trees, heap operations, tree-based searching.","Trees, AVL Tree, Binary Tree, Data Structures, Algorithms.",Intermediate
Stack and Queue Data Structures in JavaScript,Development,Web Development,Implement stack and queue data structures in JavaScript for front-end and back-end applications.,"Stack operations, queue operations, recursion, ES6 classes.","JavaScript, Stacks, Queues, Web Development, Algorithms.",Intermediate
"Java Collections Framework: Stacks, Queues & Trees",Development,Software Development,"Learn how to use Java’s built-in data structures like Stack, Queue, and TreeMap.","Java Collections, PriorityQueue, TreeMap, Deque.","Java, Collections, Data Structures, Trees, Stacks, Queues.",Intermediate
Arrays & Linked Lists: In-Depth Guide with Examples,Development,Data Structures & Algorithms,Get an in-depth understanding of arrays and linked lists with practical coding exercises.,"Array manipulation, pointer arithmetic, linked list traversal.","Arrays, Linked Lists, Data Structures, Algorithms.",Intermediate
"Competitive Programming: Graphs, Trees & Arrays",Development,Competitive Programming,Master key data structures used in competitive coding contests like Codeforces and LeetCode.,"Graph traversal, tree algorithms, segment trees, binary search.","Competitive Programming, Graphs, Trees, Arrays, LeetCode.",Intermediate
Sorting Algorithms: A Complete Guide,Development,Data Structures & Algorithms,"Learn sorting algorithms like QuickSort, MergeSort, HeapSort, BubbleSort, and more with hands-on examples.","Sorting techniques, time complexity analysis, recursion, divide & conquer.","Sorting, Algorithms, QuickSort, MergeSort, Data Structures.",Intermediate
"Bucket Sort, Counting Sort & Radix Sort: Non-Comparison Sorting",Development,Data Structures & Algorithms,"Explore non-comparison-based sorting techniques like Counting Sort, Radix Sort, and Bucket Sort.","Radix Sort, Bucket Sort, Counting Sort, optimization strategies.","Sorting, Radix Sort, Bucket Sort, Counting Sort, Algorithms.",Intermediate
Dynamic Programming for Coding Interviews & Competitive Programming,Development,Competitive Programming,"Master dynamic programming techniques for tackling real-world coding challenges on LeetCode, Codeforces, and other platforms.","DP pattern recognition, problem-solving, recursion, memoization.","Competitive Programming, DP, Coding Interviews, Algorithms, Problem Solving.",Intermediate
Java Dynamic Programming: Algorithms & Applications,Development,Java Programming,Implement dynamic programming solutions in Java with real-world examples and projects.,"Java algorithms, memoization, recursion, space optimization.","Java, Dynamic Programming, Memoization, Recursion, Algorithms.",Intermediate
Dynamic Programming for Graph Problems,Development,Graph Algorithms,"Solve graph-based DP problems, including shortest paths and network optimization.","Floyd-Warshall, Bellman-Ford, DAG shortest paths.","Graphs, DP, Shortest Paths, Network Optimization.",Intermediate
Big O Notation: Simplified for Coding Interviews,Development,Interview Preparation,A beginner-friendly guide to understanding and applying Big O notation for coding interviews.,"Algorithm efficiency, performance optimization, problem-solving.","Big O, Coding Interviews, Algorithm Analysis, Problem Solving.",Intermediate
Big O Notation in Python: Hands-On Guide,Development,Python Programming,Implement and analyze algorithms in Python using Big O notation with real-world examples.,"Algorithm efficiency, Python implementation, space/time trade-offs.","Python, Big O, Time Complexity, Algorithm Optimization.",Intermediate
Java Time Complexity & Algorithm Optimization,Development,Java Programming,"Learn time complexity concepts with Java implementations for sorting, searching, and recursion problems.","Java algorithms, performance tuning, recursion complexity.","Java, Time Complexity, Algorithm Optimization, Big O.",Intermediate
Graph Algorithms & Complexity Analysis,Development,Graph Theory,"Master graph algorithms like Dijkstra’s, Floyd-Warshall, and Bellman-Ford while analyzing their time complexity.","Graph traversal complexity, pathfinding efficiency, optimization techniques.","Graph Algorithms, Time Complexity, Shortest Paths, Optimization.",Intermediate
The Ultimate Big O Notation Course: 50+ Solved Problems,Development,Coding Challenges,Learn Big O notation with 50+ coding problems explained step by step.,"Algorithmic efficiency, space-time trade-offs, problem-solving.","Big O, Problem Solving, Coding Challenges, Optimization, Algorithms.",Intermediate
The Complete SQL Bootcamp 2024: Go from Zero to Hero,IT & Software,Databases,"Learn SQL from scratch with hands-on exercises in PostgreSQL. Covers queries, joins, indexes, and optimization.","SQL queries, joins, aggregate functions, subqueries, indexing, database design.","SQL, PostgreSQL, Data Analysis, Joins, Indexing, Queries.",Advanced
MySQL for Beginners: Learn MySQL from Scratch,IT & Software,Databases,"A beginner-friendly MySQL course covering database creation, table management, CRUD operations, and indexing.","MySQL setup, database management, normalization, indexing, stored procedures.","MySQL, Databases, SQL Queries, Data Management.",Beginner
Advanced SQL: Performance Optimization & Indexing,IT & Software,Database Optimization,"Learn how to optimize SQL queries, use indexing efficiently, and troubleshoot performance bottlenecks.","Indexing strategies, query execution plans, partitioning, indexing.","SQL Optimization, Indexing, Query Performance, MySQL.",Advanced
SQL for Data Science: Mastering Relational Databases,Data Science,Data Analytics,"Apply SQL in data analysis, master joins, window functions, and data manipulation techniques.","SQL queries, joins, aggregate functions, data transformation.","SQL, Data Science, Queries, Data Manipulation, PostgreSQL.",Intermediate
SQL & Relational Databases for Web Developers,Development,Web Development,Learn how to integrate SQL databases with web applications using MySQL and PostgreSQL.,"Database connectivity, SQL queries, PHP/MySQL integration.","Web Development, SQL, MySQL, PostgreSQL, Web Applications.",Intermediate
Database Security & SQL Injection Prevention,IT & Software,Cybersecurity,Learn best practices for securing SQL databases and preventing common vulnerabilities.,"SQL security, injection prevention, access control.","SQL Security, Cybersecurity, SQL Injection, Access Control.",Intermediate
NoSQL Databases: A Beginner's Guide,IT & Software,Databases,"Introduction to NoSQL databases like MongoDB, Firebase, and Cassandra, with practical applications.","NoSQL concepts, data modeling, indexing, scalability, CAP theorem.","NoSQL, Databases, MongoDB, Firebase, Cassandra.",Beginner
MongoDB Security Best Practices,IT & Software,Databases,"Learn how to secure MongoDB databases by implementing authentication, encryption, and access controls.","MongoDB security, authentication, SSL encryption, backup strategies.","MongoDB, Security, NoSQL, Cybersecurity, Encryption.",Intermediate
