course_name,category,mentor_list,Skills_Covered,Tags,Difficulty_Level,Description
Computational Thinking for Data Science,Data Science,M019; M005; M037; M022; M024,"Data abstraction, pattern recognition, algorithmic thinking, data wrangling.","Data Science, Computational Thinking, Data Analysis, Pattern Recognition.",Intermediate,Learn how computational thinking applies to data analysis and problem-solving in data science.
Developing a Problem-Solving Mindset with Computational Thinking,Personal Development,M001; M002; M017; M005; M036,"Critical thinking, pattern analysis, logic building, algorithm design.","Computational Thinking, Problem-Solving, Logical Thinking, Critical Thinking.",Intermediate,Train your mind to think critically and solve problems efficiently using computational thinking techniques.
Computational Thinking for Kids and Beginners,STEM Education,M001; M002; M019; M024; M011,"Logical thinking, basic coding, pattern recognition, problem-solving.","Kids Coding, Computational Thinking, Logical Reasoning, STEM Learning.",Beginner,A beginner-friendly course to teach young learners how to think computationally and solve problems.
From Computational Thinking to Coding,Programming Languages,M003; M005; M011; M002; M024,"Decomposition, algorithms, flowcharts, programming basics.","Computational Thinking, Coding, Algorithm Design, Programming Logic.",Intermediate,A step-by-step approach to transitioning from computational thinking concepts to actual coding in programming languages.
Computational Thinking for Game Development,Game Development,M011; M001; M017; M006; M004,"AI behavior, game logic, event-driven programming, problem-solving.","Game Development, Computational Thinking, AI, Game Logic.",Intermediate,Learn how to apply computational thinking in game design and development.
Algorithmic and Computational Thinking for Competitive Programming,Software Engineering,M001; M002; M037; M024; M005,"Algorithm optimization, recursion, dynamic programming, complexity analysis.","Competitive Programming, Computational Thinking, Algorithms, Problem-Solving.",Intermediate,Develop computational thinking strategies used in competitive programming and coding challenges.
Computational Thinking for Business and Decision Making,Data & Analytics,M010; M005; M011; M024; M022,"Decision modeling, pattern analysis, data-driven strategies, problem-solving.","Business, Decision Making, Computational Thinking, Data Analysis.",Intermediate,Use computational thinking to make data-driven decisions and solve business problems efficiently.
Creative Problem-Solving with Computational Thinking,Creativity & Innovation,M001; M019; M022; M024; M005,"Divergent thinking, abstraction, logical deduction, problem decomposition.","Creativity, Problem-Solving, Computational Thinking, Logical Deduction.",Intermediate,Learn to apply computational thinking creatively to solve complex problems in different domains.
The Complete C Programming Course for Beginners,Programming Languages,M001; M005; M002; M024; M022,"Variables, loops, functions, pointers, memory management, file handling.","C Programming, Pointers, Memory Management, Functions, C Basics.",Beginner,"Learn the fundamentals of C programming from scratch, including data types, loops, functions, and pointers."
Master C++: From Beginner to Advanced,Programming Languages,M002; M001; M005; M024; M011,"Object-oriented programming, pointers, dynamic memory allocation, STL.","C++, Object-Oriented Programming, STL, Pointers, Memory Management.",Beginner,"A comprehensive C++ course covering OOP concepts, data structures, STL, and memory management."
Java Programming for Complete Beginners,Programming Languages,M004; M005; M001; M024; M022,"OOP, exception handling, multi-threading, collections, Java basics.","Java, Object-Oriented Programming, Java Collections, Multi-threading, Java Basics.",Beginner,"Learn Java from scratch, including syntax, OOP concepts, and Java Collections Framework."
Python for Absolute Beginners,Programming Languages,M003; M005; M001; M004; M024,"Python syntax, loops, functions, file handling, exception handling.","Python, Loops, Functions, File Handling, Beginner Python.",Beginner,"A beginner-friendly course covering Python basics, data types, loops, and file handling."
JavaScript Essentials for Beginners,Web Development,M007; M004; M002; M019; M022,"JavaScript syntax, DOM manipulation, event handling, ES6 features.","JavaScript, ES6, DOM, Event Handling, Web Development.",Beginner,"Learn JavaScript basics, DOM manipulation, and event handling for web development."
C# for Beginners: Learn to Code with C#,Game Development,M011; M001; M008; M024; M002,"C# syntax, OOP, exception handling, LINQ, .NET framework.","C#, OOP, .NET, LINQ, C# Programming.",Beginner,Master C# programming from basics to advanced topics like OOP and LINQ.
Kotlin for Android Development,Mobile Development,M019; M024; M003; M002; M007,"Kotlin syntax, Android Studio, Jetpack Compose, MVVM architecture.","Kotlin, Android, Jetpack Compose, Mobile Development, MVVM.",Intermediate,Learn Kotlin and use it to develop Android apps with Jetpack Compose.
PHP & MySQL: Web Development from Scratch,Web Development,M004; M007; M002; M019; M025,"PHP syntax, database connectivity, CRUD operations, sessions.","PHP, MySQL, Web Development, Backend Development, CRUD.",Intermediate,Build dynamic websites using PHP and MySQL database.
R Programming for Data Science,Programming Languages,M002; M005; M037; M017; M018,"R syntax, data visualization, statistical analysis, machine learning.","R Programming, Data Science, Data Analysis, Visualization, R Basics.",Intermediate,Learn R programming for statistical analysis and data visualization.
Shell Scripting for DevOps,DevOps,M005; M024; M002; M009; M004,"Bash scripting, process automation, Linux commands, scripting best practices.","Shell Scripting, DevOps, Bash, Automation, Linux Commands.",Intermediate,Master shell scripting for automation and DevOps workflows.
Software Development Life Cycle (SDLC) - A Complete Guide,Software Engineering,M005; M024; M001; M019; M019,"SDLC phases, software requirements, design, development, testing, deployment, and maintenance.","SDLC, Software Engineering, Agile, Waterfall, Software Development.",Intermediate,"Learn the fundamentals of SDLC, including waterfall, agile, and DevOps models, and best practices for software development."
Agile Software Development: Scrum & Kanban Explained,Project Management,M019; M005; M024; M007; M002,"Agile principles, Scrum framework, Kanban boards, sprint planning, backlog grooming.","Agile, Scrum, Kanban, Software Development, Project Management.",Intermediate,"Learn how to implement Agile methodologies, including Scrum and Kanban, in software development."
Software Engineering 101: Understanding SDLC Models,Software Engineering,M019; M024; M001; M037; M002,"SDLC models, software process improvement, requirement analysis, software quality.","SDLC, Software Engineering, Development Models, Agile, Waterfall.",Beginner,"A beginner’s guide to different SDLC models, including waterfall, iterative, V-model, spiral, and agile."
Software Testing & Quality Assurance (QA) Fundamentals,Software Testing,M008; M005; M024; M011; M004,"Unit testing, integration testing, system testing, UAT, automated testing tools.","Software Testing, QA, Test Automation, SDLC Testing, Bug Tracking.",Intermediate,Learn the importance of testing in SDLC and explore different testing methodologies.
DevOps Essentials: Understanding CI/CD and SDLC Integration,DevOps,M024; M001; M005; M007; M009,"CI/CD, Jenkins, Git, Docker, Kubernetes, deployment automation.","DevOps, CI/CD, Software Development, SDLC Automation, Continuous Integration.",Intermediate,"Learn how DevOps integrates into SDLC with CI/CD pipelines, automation, and infrastructure as code."
Software Requirements Engineering & Documentation,Software Engineering,M019; M037; M024; M011; M002,"Requirements gathering, use case modeling, UML diagrams, functional vs. non-functional requirements.","Software Requirements, Business Analysis, SDLC, Use Cases, Documentation.",Intermediate,Learn how to gather and document software requirements effectively for better SDLC management.
Agile Scrum Master Certification Prep,Project Management,M019; M005; M024; M004; M002,"Scrum framework, sprint planning, Agile ceremonies, backlog management.","Scrum, Agile, SDLC, Project Management, Certification.",Intermediate,Prepare for Scrum Master certification with a deep dive into Agile and Scrum methodologies.
Introduction to Software Architecture & Design Patterns,Software Engineering,M019; M002; M001; M024; M007,"MVC, microservices, monolithic vs. distributed systems, SOLID principles.","Software Architecture, Design Patterns, Microservices, System Design, SDLC.",Beginner,"Learn software architecture principles, including layered architecture, microservices, and design patterns."
Waterfall vs. Agile: Choosing the Right SDLC Model,Software Engineering,M024; M004; M019; M022; M005,"SDLC comparison, project management, risk analysis, iterative development.","Waterfall, Agile, SDLC, Iterative Development, Software Lifecycle.",Intermediate,Understand the key differences between Waterfall and Agile methodologies and when to use each.
Secure Software Development Life Cycle (SSDLC),Cybersecurity,M019; M008; M024; M017; M022,"Secure coding, threat modeling, OWASP Top 10, penetration testing.","Cybersecurity, Secure SDLC, Threat Modeling, Secure Coding, Penetration Testing.",Intermediate,Learn how to integrate security best practices into SDLC to prevent vulnerabilities.
Software Project Management with SDLC,Project Management,M019; M007; M005; M001; M024,"Project planning, risk assessment, software cost estimation, stakeholder communication.","SDLC, Project Management, Risk Assessment, Software Planning, Agile.",Intermediate,Learn project management best practices using SDLC methodologies.
Microservices Development and SDLC Best Practices,Software Engineering,M025; M005; M037; M019; M019,"Microservices architecture, REST APIs, API gateways, service discovery.","Microservices, API Development, SDLC, Software Design, Kubernetes.",Intermediate,Understand SDLC best practices for building scalable microservices applications.
Business Analyst Guide to Software Development Life Cycle,Business Analysis,M005; M019; M004; M012; M011,"Process modeling, user stories, stakeholder communication, requirement documentation.","Business Analysis, SDLC, Requirement Gathering, UML, Process Modeling.",Intermediate,Learn how business analysts contribute to SDLC through requirement analysis and stakeholder management.
Mastering Object-Oriented Programming in Java,Programming Languages,M004; M001; M017; M008; M006,"OOP concepts, Java syntax, design patterns, Java classes and objects.","Java, OOP, Object-Oriented Programming, Java Classes, Inheritance.",Intermediate,"Learn OOP principles using Java, covering encapsulation, inheritance, polymorphism, and abstraction."
Object-Oriented Programming (OOP) for Beginners in Python,Programming Languages,M003; M006; M019; M004; M011,"Python classes, constructors, inheritance, polymorphism, magic methods.","Python, OOP, Object-Oriented, Classes, Inheritance.",Beginner,"Learn how to write clean, reusable, and efficient code using Python's OOP features."
C++ Object-Oriented Programming and STL,Programming Languages,M002; M019; M004; M031; M005,"C++ classes, constructors, destructors, function overloading, STL containers.","C++, OOP, STL, Object-Oriented, Polymorphism.",Intermediate,Learn OOP in C++ along with the Standard Template Library (STL) for efficient coding.
Design Patterns and Object-Oriented Programming in C#,Software Development,M002; M005; M011; M014; M006,"C# OOP, interfaces, dependency injection, SOLID principles, design patterns.","C#, OOP, Design Patterns, SOLID, Object-Oriented.",Intermediate,Master OOP principles in C# and learn how to implement design patterns effectively.
Object-Oriented Programming with JavaScript (ES6+),Web Development,M007; M024; M001; M002; M005,"JavaScript classes, prototypes, closures, encapsulation, inheritance.","JavaScript, OOP, Object-Oriented, Classes, Prototypes.",Intermediate,Learn how to apply OOP principles in JavaScript using ES6+ features.
UML & Object-Oriented Design Foundations,Software Engineering,M019; M007; M011; M004; M005,"UML diagrams, class relationships, software architecture, design principles.","UML, OOP, Software Design, Object-Oriented, Class Diagrams.",Beginner,Learn how to design software systems using UML and OOP principles.
Object-Oriented Programming and Data Structures in Python,Data Science,M003; M019; M024; M021; M002,"Python OOP, linked lists, stacks, queues, trees, recursion.","Python, OOP, Data Structures, Object-Oriented, Algorithms.",Intermediate,Learn how to implement OOP with data structures in Python.
SOLID Principles and Object-Oriented Design Patterns,Software Engineering,M019; M002; M011; M017; M006,"SOLID principles, dependency injection, design patterns, clean code.","SOLID, OOP, Object-Oriented, Design Patterns, Clean Code.",Intermediate,Learn the five SOLID principles of OOP and how to apply them to real-world projects.
Python OOP: Build Real-World Applications,Software Development,M003; M021; M024; M008; M004,"Python OOP, project-based learning, MVC architecture, unit testing.","Python, OOP, Object-Oriented, Real-World Applications, Project-Based Learning.",Intermediate,Learn OOP in Python by building real-world applications like a banking system.
OOP Principles and Java Web Development,Web Development,M004; M002; M022; M019; M031,"Java OOP, Spring Boot, MVC, REST APIs.","Java, OOP, Object-Oriented, Spring Boot, Web Development.",Intermediate,Learn how OOP principles are applied in Java web applications using Spring Boot.
Object-Oriented Analysis & Design for Software Engineers,Software Engineering,M004; M019; M022; M002; M019,"OOP analysis, design patterns, software architecture, UML modeling.","OOP, Software Engineering, UML, Object-Oriented, Design Patterns.",Intermediate,"Learn OOP-based software development, from requirements to implementation."
Functional Programming in JavaScript – Master the Concepts,Web Development,M007; M019; M022; M010; M014,"JavaScript functional programming, pure functions, higher-order functions, currying, immutability.","JavaScript, Functional Programming, Higher-Order Functions, ES6, Pure Functions.",Intermediate,"Learn how to write pure functions, use higher-order functions, and apply functional programming techniques in JavaScript."
Functional Programming in Python – From Beginner to Expert,Programming Languages,M003; M019; M005; M024; M006,"Lambda functions, list comprehensions, map/filter/reduce, decorators, immutability.","Python, Functional Programming, Lambda, Map-Reduce, Decorators.",Beginner,"Learn how to leverage Python’s functional programming capabilities to write cleaner, more efficient code."
Functional Programming in Java 8+,Programming Languages,M004; M022; M019; M007; M006,"Java Streams API, lambda expressions, functional interfaces, method references.","Java, Functional Programming, Streams API, Lambdas, Java 8+.",Intermediate,"Learn functional programming in Java using Java 8+ features like Streams, Lambda expressions, and Optional."
Mastering Functional Programming with Kotlin,Mobile Development,M024; M059; M021; M002; M004,"Kotlin lambdas, extension functions, coroutines, functional collections.","Kotlin, Functional Programming, Coroutines, Higher-Order Functions, Extension Functions.",Intermediate,"Learn Kotlin’s functional programming features, including lambda expressions, higher-order functions, and coroutines."
Functional Data Structures and Algorithms,Data Structures & Algorithms,M006; M008; M024; M017; M002,"Immutable data structures, recursion, functional graphs, pattern matching.","Functional Programming, Data Structures, Algorithms, Immutable Structures, Recursion.",Intermediate,Learn how to implement data structures and algorithms in a functional programming paradigm.
Compiler Design: Introduction to Compiler Theory,Computer Science Theory,M029; M001; M002; M024; M019,"Lexical analysis, parsing, syntax trees, code generation, compiler phases.","Compiler Design, Parsing, Syntax Analysis, Code Generation, Computer Science.",Beginner,"Learn the fundamental concepts of compiler design, including lexical analysis, parsing, and code generation."
Building a Compiler from Scratch,Software Development,M029; M001; M019; M002; M024,"Tokenization, lexical analysis, code optimization, LLVM IR.","Compiler, Python, LLVM, Tokenization, Code Optimization.",Intermediate,Learn how to build a simple compiler from scratch using Python and LLVM.
Lexical Analysis & Tokenization for Compiler Design,Computer Science Theory,M029; M001; M002; M008; M024,"Finite state machines, regular expressions, tokenization, symbol tables.","Compiler, Lexical Analysis, Tokenization, Finite State Machines, Regular Expressions.",Intermediate,Learn how lexical analysis works and how to implement tokenization in a compiler.
Code Optimization Techniques in Compiler Design,Computer Science Theory,M029; M006; M001; M024; M002,"Constant folding, loop unrolling, strength reduction, dead code elimination.","Compiler Optimization, Code Optimization, Constant Folding, Dead Code Elimination, Strength Reduction.",Intermediate,"Learn advanced techniques for optimizing code in a compiler, including constant folding and dead code elimination."
Understanding Context-Free Grammars in Compiler Design,Computer Science Theory,M029; M001; M003; M017; M022,"Context-free grammars, syntax trees, parsing techniques.","Compiler, CFG, Syntax Analysis, Parsing, Formal Languages.",Intermediate,Learn about context-free grammars (CFGs) and their role in syntax analysis in compilers.
Garbage Collection & Memory Management in Compilers,Computer Science Theory,M029; M005; M001; M004; M024,"Reference counting, mark-and-sweep, generational garbage collection.","Compiler, Memory Management, Garbage Collection, Reference Counting, Mark-and-Sweep.",Intermediate,"Learn how memory management works in compilers, including garbage collection algorithms."
Mastering Data Structures & Algorithms in C and C++,Data Structures & Algorithms,M001; M002; M003; M015; M024,"Arrays, linked lists, stacks, queues, trees, graphs, recursion, searching & sorting.","Data Structures, C++, C, Algorithms, DSA.",Intermediate,"A deep dive into data structures such as arrays, linked lists, stacks, queues, graphs, and trees using C and C++."
Data Structures and Algorithms: Deep Dive Using Java,Data Structures & Algorithms,M004; M002; M001; M017; M021,"Java collections, recursion, trees, graphs, and memory management.","Java, Data Structures, Graphs, Trees, Linked Lists.",Intermediate,"Learn data structures with Java, covering arrays, linked lists, stacks, queues, trees, graphs, and hashing."
"Python Data Structures: Linked Lists, Stacks & Queues",Data Science,M003; M024; M001; M005; M002,"Python programming, linked lists, stack operations, queue implementations.","Python, Data Structures, Linked Lists, Stacks, Queues.",Intermediate,"Implement linked lists, stacks, and queues in Python with hands-on exercises and real-world applications."
"Mastering Trees: Binary, AVL, B-Trees & More",Data Structures & Algorithms,M011; M003; M002; M024; M005,"Tree traversal, self-balancing trees, heap operations, tree-based searching.","Trees, AVL Tree, Binary Tree, Data Structures, Algorithms.",Intermediate,"Learn tree-based data structures such as binary trees, AVL trees, B-trees, and red-black trees."
Stack and Queue Data Structures in JavaScript,Web Development,M004; M011; M007; M006; M024,"Stack operations, queue operations, recursion, ES6 classes.","JavaScript, Stacks, Queues, Web Development, Algorithms.",Intermediate,Implement stack and queue data structures in JavaScript for front-end and back-end applications.
"Java Collections Framework: Stacks, Queues & Trees",Software Development,M008; M002; M024; M005; M017,"Java Collections, PriorityQueue, TreeMap, Deque.","Java, Collections, Data Structures, Trees, Stacks, Queues.",Intermediate,"Learn how to use Java’s built-in data structures like Stack, Queue, and TreeMap."
Arrays & Linked Lists: In-Depth Guide with Examples,Data Structures & Algorithms,M005; M034; M003; M019; M019,"Array manipulation, pointer arithmetic, linked list traversal.","Arrays, Linked Lists, Data Structures, Algorithms.",Intermediate,Get an in-depth understanding of arrays and linked lists with practical coding exercises.
"Competitive Programming: Graphs, Trees & Arrays",Competitive Programming,M048; M016; M003; M004; M025,"Graph traversal, tree algorithms, segment trees, binary search.","Competitive Programming, Graphs, Trees, Arrays, LeetCode.",Intermediate,Master key data structures used in competitive coding contests like Codeforces and LeetCode.
Sorting Algorithms: A Complete Guide,Data Structures & Algorithms,M005; M001; M019; M002; M007,"Sorting techniques, time complexity analysis, recursion, divide & conquer.","Sorting, Algorithms, QuickSort, MergeSort, Data Structures.",Intermediate,"Learn sorting algorithms like QuickSort, MergeSort, HeapSort, BubbleSort, and more with hands-on examples."
"Bucket Sort, Counting Sort & Radix Sort: Non-Comparison Sorting",Data Structures & Algorithms,M005; M016; M024; M019; M021,"Radix Sort, Bucket Sort, Counting Sort, optimization strategies.","Sorting, Radix Sort, Bucket Sort, Counting Sort, Algorithms.",Intermediate,"Explore non-comparison-based sorting techniques like Counting Sort, Radix Sort, and Bucket Sort."
Dynamic Programming for Coding Interviews & Competitive Programming,Competitive Programming,M002; M048; M025; M019; M037,"DP pattern recognition, problem-solving, recursion, memoization.","Competitive Programming, DP, Coding Interviews, Algorithms, Problem Solving.",Intermediate,"Master dynamic programming techniques for tackling real-world coding challenges on LeetCode, Codeforces, and other platforms."
Java Dynamic Programming: Algorithms & Applications,Java Programming,M004; M019; M025; M007; M008,"Java algorithms, memoization, recursion, space optimization.","Java, Dynamic Programming, Memoization, Recursion, Algorithms.",Intermediate,Implement dynamic programming solutions in Java with real-world examples and projects.
Dynamic Programming for Graph Problems,Graph Algorithms,M019; M024; M022; M018; M036,"Floyd-Warshall, Bellman-Ford, DAG shortest paths.","Graphs, DP, Shortest Paths, Network Optimization.",Intermediate,"Solve graph-based DP problems, including shortest paths and network optimization."
